@RELATION gradientboosting_classifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {false,true}

@DATA
0.305926,0.001023,3.206073,0.367714,0.334173,1.647057,0.002006,0.626708,-35.615937,0.327365,-0.897898,-0.468494,-0.445723,-0.265694,-0.195525,-0.006366,0.091642,0.132784,0.122964,0.113914,0.013176,0.008458,0.004840,0.013111,0.013803,0.005540,0.009561,0.035631,0.003638,0.005258,0.008436,0.014880,0.005370,0.011328,0.087557,0.004321,0.090585,0.049226,0.029538,0.356964,0.001203,0.157078,1.340403,0.689763,0.513327,0.403236,0.304359,0.283206,0.213860,0.193873,0.143193,0.154988,0.131569,0.138747,0.122519,0.005775,0.003040,0.008664,0.008965,0.002765,0.008997,0.034893,0.003148,0.003630,0.005591,0.009788,0.004219,0.009151,false
0.329387,0.000993,3.204145,0.378985,0.332052,1.824715,0.001800,0.682611,-36.901181,0.085607,-0.922925,-0.538911,-0.504202,-0.267599,-0.159040,0.027602,0.119398,0.155468,0.103123,0.095543,0.033059,0.007319,0.005130,0.011887,0.009636,0.006076,0.007473,0.027709,0.004142,0.005214,0.006153,0.012181,0.004886,0.008962,0.114090,0.003996,0.099646,0.067274,0.034550,0.500110,0.001321,0.209950,1.788392,0.897652,0.465768,0.420382,0.284380,0.269390,0.181743,0.143452,0.136005,0.138754,0.132836,0.158839,0.119997,0.005431,0.002662,0.010637,0.007455,0.004036,0.006676,0.034865,0.003709,0.003766,0.003579,0.010261,0.003054,0.009522,false
0.096700,0.005945,3.050290,0.201094,0.269925,0.332558,0.014612,0.029042,-35.452820,2.479685,0.043171,0.389043,-0.005166,0.104356,0.041661,0.160978,0.069284,0.120810,0.070174,0.071688,0.032774,0.012672,0.003365,0.028967,0.025822,0.079583,0.006902,0.053409,0.001475,0.004790,0.011323,0.020265,0.003712,0.035506,0.102814,0.009864,0.333089,0.087214,0.048854,0.435629,0.019522,0.024084,3.781005,0.963056,0.430444,0.453395,0.308551,0.285554,0.189711,0.211893,0.204087,0.142115,0.131434,0.140436,0.119137,0.010655,0.003358,0.034887,0.022071,0.057242,0.007066,0.049034,0.001131,0.003612,0.009081,0.016629,0.002789,0.014182,false
0.298562,0.001444,3.085011,0.340615,0.323687,1.390681,0.002718,0.527069,-35.797691,0.681295,-1.033897,-0.456938,-0.514684,-0.272397,-0.229733,-0.113835,0.022428,0.120795,0.110803,0.076197,0.008326,0.010829,0.004781,0.013458,0.017765,0.008559,0.012402,0.028001,0.004657,0.007424,0.009891,0.015654,0.006047,0.009982,0.103932,0.003393,0.319353,0.075701,0.032176,0.541466,0.001923,0.222872,2.557489,1.132512,0.642232,0.449115,0.308422,0.252255,0.165974,0.177193,0.151348,0.134522,0.135328,0.159784,0.132335,0.010393,0.003852,0.010380,0.019871,0.007706,0.011293,0.022124,0.004020,0.006271,0.006155,0.015254,0.004693,0.007025,false
0.003085,0.010700,3.117342,0.088177,0.197677,0.035614,0.047800,0.008056,-35.942926,1.261366,-0.152905,0.544868,0.072481,0.162411,-0.087988,0.165460,0.156766,0.021203,0.089844,0.029653,-0.023818,0.000679,0.000502,0.003787,0.000837,0.000518,0.000899,0.165081,0.000491,0.000487,0.000709,0.001088,0.000630,0.045458,0.006364,0.033073,0.287505,0.025946,0.023061,0.064821,0.107296,0.016305,4.697849,0.580348,0.534210,0.268863,0.172319,0.176133,0.168466,0.247294,0.198400,0.188169,0.153091,0.142259,0.152395,0.001497,0.001164,0.006385,0.001976,0.000899,0.001866,0.023920,0.001055,0.001003,0.001352,0.001716,0.001446,0.006720,false
0.270231,0.007909,3.004231,0.331596,0.266424,1.030339,0.003002,0.400458,-35.344501,1.176698,0.041053,0.579959,0.091995,0.162495,-0.119757,0.246444,0.183472,-0.001504,0.206423,-0.074425,0.023392,0.005235,0.004371,0.048138,0.005085,0.021170,0.003515,0.071363,0.001227,0.003374,0.007275,0.011935,0.002705,0.024396,0.170171,0.017211,0.385166,0.143033,0.056878,0.520399,0.001840,0.251420,6.014822,0.649789,0.359030,0.222101,0.159746,0.208441,0.203953,0.207379,0.174674,0.177080,0.199655,0.236610,0.146159,0.003985,0.004237,0.029374,0.004928,0.020042,0.002900,0.047518,0.000794,0.002649,0.003979,0.009682,0.002141,0.013373,false
0.046075,0.002567,2.949624,0.156496,0.213128,0.254318,0.010204,0.034333,-30.998887,2.542390,0.008407,0.466694,0.167369,0.293278,0.187260,0.182112,0.095265,-0.006795,0.163357,0.180542,0.087968,0.008672,0.002436,0.047167,0.006559,0.027134,0.004966,0.114604,0.001136,0.002254,0.012958,0.074456,0.001932,0.047863,0.027288,0.005472,0.292839,0.052836,0.042902,0.187340,0.009225,0.032019,2.784414,0.635692,0.609005,0.394377,0.266359,0.240558,0.181419,0.153068,0.187230,0.175852,0.195861,0.227696,0.173816,0.008998,0.002781,0.031635,0.008500,0.026595,0.004593,0.090205,0.001703,0.002534,0.013397,0.063236,0.003025,0.019628,false
0.053738,0.002821,2.938611,0.161209,0.208864,0.321473,0.008520,0.043569,-30.848216,2.374132,-0.086662,0.406260,0.187326,0.285638,0.122347,0.153375,0.115224,0.012381,0.208909,0.226769,0.120205,0.005643,0.001897,0.052832,0.005403,0.032577,0.005214,0.121157,0.001272,0.002357,0.007501,0.067716,0.001464,0.049164,0.023434,0.005432,0.313832,0.042593,0.034135,0.159519,0.005467,0.032267,2.233246,0.559475,0.578582,0.403417,0.246232,0.228522,0.184291,0.169631,0.193107,0.168324,0.173542,0.213816,0.156958,0.004259,0.001739,0.036559,0.005955,0.031293,0.004459,0.078040,0.001738,0.002610,0.008180,0.061533,0.001569,0.017071,false
0.053571,0.002795,2.953826,0.162639,0.210157,0.334746,0.010259,0.046653,-31.093666,2.355266,-0.046899,0.483892,0.237660,0.331334,0.163308,0.168321,0.107977,0.009265,0.219577,0.262006,0.151409,0.004824,0.001770,0.054104,0.004579,0.031986,0.005357,0.113536,0.001147,0.002007,0.006969,0.076452,0.001064,0.049329,0.024523,0.005566,0.317957,0.040878,0.035658,0.193024,0.008655,0.036644,2.290149,0.583665,0.609090,0.441364,0.237303,0.216372,0.195255,0.154747,0.175717,0.190275,0.183372,0.187064,0.126665,0.004458,0.001770,0.036992,0.006120,0.030608,0.004847,0.057535,0.001730,0.002592,0.008803,0.062621,0.000962,0.014819,false
0.052425,0.002448,2.973133,0.167998,0.218449,0.319078,0.010983,0.043458,-31.548106,2.340850,-0.086324,0.497720,0.255882,0.321160,0.169691,0.150038,0.093472,0.000551,0.201743,0.249396,0.140729,0.004252,0.001637,0.049817,0.004395,0.030471,0.004624,0.135440,0.001129,0.001826,0.005114,0.073231,0.000974,0.054825,0.023524,0.005422,0.303734,0.046600,0.040562,0.158735,0.010039,0.036573,2.653110,0.477203,0.570202,0.418171,0.231579,0.222527,0.171562,0.156851,0.174933,0.183069,0.190269,0.198126,0.134895,0.003642,0.001732,0.034479,0.005795,0.030121,0.004522,0.093603,0.001715,0.002537,0.005115,0.065363,0.000941,0.018542,false
