@RELATION svm_classifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {false,true}

@DATA
0.079148,0.001435,2.749301,0.255869,0.296494,0.259844,0.018967,0.013063,-36.898550,2.500397,0.036476,0.607968,0.371406,0.319198,0.047844,0.111157,0.131816,0.010980,-0.044486,-0.072170,0.005716,0.015202,0.000900,0.071538,0.002606,0.010192,0.001184,0.187759,0.000680,0.001033,0.004343,0.030297,0.001611,0.057857,0.031798,0.003640,0.329576,0.073591,0.058374,0.119093,0.022029,0.013764,3.526744,0.445702,0.432613,0.250074,0.156918,0.193580,0.197083,0.220824,0.144545,0.138958,0.113751,0.148668,0.104683,0.008558,0.001575,0.044550,0.002444,0.005498,0.001110,0.058535,0.000983,0.001100,0.004607,0.023384,0.002406,0.014602,false
0.321915,0.000745,3.228069,0.379037,0.329892,1.956870,0.001535,0.717187,-37.137858,-0.227333,-1.035318,-0.651206,-0.551264,-0.324752,-0.179471,-0.021227,0.096669,0.202536,0.155611,0.099401,0.040849,0.006302,0.004469,0.009877,0.007556,0.005239,0.006399,0.022132,0.004552,0.004536,0.005973,0.010376,0.004580,0.007202,0.092602,0.002997,0.075863,0.051348,0.026296,0.392688,0.001001,0.160372,1.407901,0.722876,0.402750,0.333917,0.257543,0.234371,0.166706,0.113661,0.111224,0.138177,0.107027,0.130564,0.117692,0.004245,0.002085,0.008322,0.005677,0.003144,0.005034,0.026298,0.003106,0.003020,0.003455,0.008385,0.002506,0.007209,false
0.298605,0.000767,3.223813,0.367224,0.329467,1.820688,0.001679,0.666472,-35.769414,0.113665,-0.811496,-0.496210,-0.445112,-0.234070,-0.136450,0.067088,0.113873,0.105428,0.086172,0.116529,0.040395,0.007400,0.004739,0.011583,0.011271,0.004788,0.008352,0.027877,0.003515,0.004808,0.007095,0.011895,0.004736,0.008972,0.067738,0.003241,0.071375,0.038581,0.023184,0.277101,0.000907,0.126656,1.041186,0.585730,0.413981,0.306617,0.240618,0.245347,0.189799,0.174459,0.155169,0.154976,0.117998,0.114867,0.108030,0.004551,0.002746,0.007442,0.006977,0.002265,0.007547,0.026849,0.002713,0.002950,0.004253,0.007576,0.003685,0.007092,false
0.335635,0.001083,3.131183,0.370179,0.332013,1.640853,0.002212,0.627667,-36.539425,0.295041,-1.074354,-0.574421,-0.558721,-0.297441,-0.256721,-0.104623,0.052928,0.150223,0.125872,0.076950,-0.003041,0.008650,0.004895,0.010992,0.013917,0.007014,0.010607,0.022421,0.004267,0.006520,0.008372,0.012963,0.005511,0.007933,0.085106,0.002544,0.248530,0.060062,0.024603,0.415862,0.001451,0.169091,1.992986,0.894546,0.507108,0.370770,0.260904,0.210567,0.151049,0.156602,0.140375,0.122830,0.142639,0.136414,0.149771,0.008159,0.003499,0.008170,0.015063,0.005959,0.008650,0.016726,0.003300,0.005152,0.005082,0.011622,0.003934,0.005298,false
0.088288,0.001845,2.998717,0.224918,0.250767,0.525793,0.007478,0.093856,-31.859844,2.203563,0.038618,0.393169,0.253403,0.304692,0.152043,0.173555,0.098665,0.004886,0.238692,0.278751,0.162674,0.003990,0.001532,0.047139,0.003895,0.049218,0.004605,0.128552,0.001089,0.001776,0.005215,0.056994,0.000988,0.051121,0.030557,0.004073,0.266579,0.047915,0.035292,0.183407,0.006831,0.060880,2.096042,0.436569,0.471648,0.359322,0.204088,0.202624,0.161146,0.130594,0.164545,0.168524,0.168299,0.183800,0.123535,0.003231,0.001443,0.036062,0.004759,0.033581,0.003937,0.079958,0.001429,0.002201,0.004656,0.051294,0.000829,0.015917,false
0.367221,0.005932,3.079810,0.410620,0.280557,1.275739,0.002481,0.522104,-37.528658,1.343413,0.158947,0.533501,0.024411,0.067308,-0.206076,0.228722,0.237915,0.052791,0.204055,-0.106802,-0.028449,0.004417,0.003642,0.037507,0.004144,0.017791,0.004189,0.056825,0.001044,0.003505,0.006681,0.009476,0.002838,0.019295,0.140550,0.012908,0.290964,0.114271,0.046477,0.400014,0.001386,0.190276,4.665450,0.522527,0.276594,0.238647,0.131884,0.195392,0.158088,0.197064,0.176761,0.147020,0.169262,0.208460,0.138340,0.003066,0.003368,0.022950,0.003827,0.016343,0.003608,0.036017,0.000603,0.002471,0.003605,0.007348,0.002003,0.010258,false
0.002282,0.008046,3.168016,0.086510,0.201805,0.027091,0.037077,0.006042,-36.588415,1.286773,-0.209467,0.591599,0.166316,0.166078,-0.038278,0.240413,0.144403,-0.032533,0.134870,0.040099,-0.050585,0.000515,0.000382,0.002932,0.000637,0.000401,0.000680,0.165440,0.000371,0.000370,0.000539,0.000830,0.000477,0.045597,0.004726,0.024849,0.217753,0.018960,0.018106,0.049124,0.081897,0.012223,3.575974,0.449532,0.443332,0.230787,0.151311,0.157280,0.139351,0.211992,0.155561,0.169531,0.132200,0.145055,0.136085,0.001141,0.000887,0.004979,0.001511,0.000692,0.001416,0.018195,0.000798,0.000767,0.001031,0.001316,0.001098,0.005112,false
0.007190,0.002453,2.916630,0.245971,0.278607,0.158125,0.004777,0.007031,-36.165284,1.094762,-0.281072,-0.209501,-0.333131,-0.109963,-0.164489,0.117010,0.043869,0.227890,0.116249,0.140539,0.068058,0.004477,0.000521,0.038430,0.003904,0.012083,0.002262,0.149793,0.000365,0.002142,0.011215,0.014353,0.000939,0.043733,0.003571,0.003380,0.348016,0.025318,0.018535,0.026563,0.003631,0.001710,1.512695,0.436125,0.295368,0.255559,0.161756,0.160089,0.143119,0.150239,0.128893,0.116556,0.134232,0.112816,0.118265,0.003272,0.000519,0.013529,0.004123,0.008356,0.002646,0.036518,0.000284,0.001407,0.007288,0.005653,0.000717,0.009143,false
0.110909,0.004459,2.994077,0.210654,0.283616,0.311596,0.012212,0.028517,-36.135956,2.561234,0.002964,0.367200,-0.026381,0.052458,0.004770,0.085897,0.024970,0.111488,0.046900,0.037193,-0.008414,0.017194,0.002776,0.032707,0.030743,0.061682,0.005652,0.055942,0.001705,0.005971,0.012754,0.021069,0.004168,0.032666,0.103143,0.007398,0.368528,0.072853,0.040101,0.352148,0.014874,0.018323,2.994139,0.745899,0.358456,0.399319,0.270946,0.239778,0.166888,0.191602,0.190247,0.148867,0.129548,0.134207,0.105155,0.015170,0.002571,0.028570,0.020019,0.043856,0.005513,0.046399,0.001206,0.003990,0.009089,0.015371,0.002899,0.012311,false
0.010984,0.000473,2.748930,0.162624,0.245275,0.066361,0.082017,0.005156,-35.865522,2.405320,0.038733,0.384316,0.221613,0.255360,0.058522,0.163627,0.122482,0.067445,0.049117,0.089813,0.054324,0.001780,0.000998,0.034832,0.001044,0.002930,0.001029,0.222622,0.000479,0.000630,0.002183,0.005722,0.001009,0.062093,0.015336,0.001002,0.469250,0.079700,0.050184,0.065996,0.087663,0.006823,3.831598,0.287632,0.264757,0.129791,0.145877,0.083887,0.134909,0.123297,0.100156,0.076984,0.072401,0.088211,0.076267,0.002574,0.001837,0.036801,0.001230,0.002811,0.001272,0.070788,0.000723,0.000862,0.002812,0.005747,0.001815,0.019660,false
